GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000128610,14,3,16,25,9,94,357,8,2,10,197,66,0,6,51,20,0,25,45,238,257,499
ENSG00000128617,329,221,301,417,304,167,132,52,59,301,77,114,198,187,319,109,100,165,114,138,73,115
ENSG00000128626,92,40,85,77,66,28,16,26,36,91,42,74,71,122,67,66,103,55,43,108,33,59
ENSG00000128641,29472,9392,38960,26719,13477,13906,4059,8668,5421,10534,4746,4562,8816,11796,9983,3914,3278,5052,3804,3357,5399,4736
ENSG00000128645,1,3,3,2,2,0,0,1,0,0,0,5,1,0,3,0,0,3,1,0,1,0
ENSG00000128652,364,75,35,233,126,1,0,19,5,1,3,3,0,15,7,1,0,19,21,0,3,0
ENSG00000128654,4630,2633,3153,3349,2996,1199,874,706,748,1501,757,575,1337,1446,1847,1040,783,1298,683,909,810,808
ENSG00000128655,2323,2134,1387,1164,596,528,74,363,304,296,227,66,385,108,519,164,61,83,70,121,91,103
ENSG00000128656,6599,3882,5405,5270,5530,2676,2121,1724,1119,3915,1429,2523,2516,5679,3486,1263,1578,5007,2247,1954,2223,2724
ENSG00000128683,399,1482,335,258,331,205,147,112,37,109,83,27,224,718,744,54,20,212,270,404,3333,1413
ENSG00000128694,1696,1067,1422,1480,1265,549,285,239,275,745,278,387,779,1110,1267,451,728,645,499,539,586,563
ENSG00000128699,3332,2009,2698,2924,2442,1347,895,763,634,1619,564,986,1410,3739,2969,1428,1818,2245,1541,1595,1641,1602
ENSG00000128708,10086,3146,7621,7809,4495,5091,2402,1916,1371,7791,3022,3109,3725,6665,6136,2073,3550,4765,2290,3974,3454,3768
ENSG00000128709,62,0,1,24,2,1,0,2,0,2,1,3,3,3,10,3,0,32,19,2,2,0
ENSG00000128710,206,7,7,102,6,16,2,34,3,1,15,8,4,10,36,39,7,202,69,11,4,0
ENSG00000128713,13,1,0,7,1,0,0,1,0,0,0,0,1,3,6,2,2,17,16,4,0,0
ENSG00000128714,4,5,0,8,1,3,0,4,1,1,0,6,6,1,6,2,1,1,2,0,7,1
ENSG00000128731,10021,6854,9168,10340,8505,3218,1905,2225,1891,2374,899,2395,3350,8222,5003,2994,3193,5589,3582,4052,3369,3669
ENSG00000128739,11997,11390,9149,11312,7712,3142,3395,1615,2167,4375,1161,2577,4373,10069,8016,5044,3779,7266,4949,2568,4988,5924
ENSG00000128789,1351,726,1174,1019,905,476,252,229,211,617,165,420,697,1379,1157,617,703,730,434,809,642,657
ENSG00000128791,3439,1669,2823,3851,2771,1545,1242,571,504,2762,533,1340,1567,4150,3420,1017,1864,4036,1992,1467,1907,2388
ENSG00000128805,333,141,197,174,151,193,56,176,87,123,93,125,148,304,347,204,115,242,83,81,161,89
ENSG00000128815,4,2,2,5,1,2,4,5,4,1,0,14,3,5,9,7,4,3,3,6,6,7
ENSG00000128829,6882,4546,6216,6766,6461,3302,2835,1554,1479,5437,1467,2266,3097,4582,4651,2559,2882,3351,2383,3126,2223,3240
ENSG00000128833,367,141,407,930,445,595,688,110,279,514,295,911,651,5953,1986,1608,2615,4096,1477,2056,1251,1311
ENSG00000128849,208,126,246,569,269,285,817,162,67,2506,339,133,107,411,248,428,21,755,579,391,67,181
ENSG00000128872,18234,15542,15515,11714,5528,8075,3459,3507,4830,2244,4960,2380,6493,16048,16013,12419,5020,11570,6393,8635,8267,7024
ENSG00000128881,9357,10858,8991,8613,8695,3354,1474,2517,2382,1776,1178,1650,2694,6281,6478,3812,2208,4003,2518,3271,3427,3040
ENSG00000128886,20,16,20,18,19,16,9,14,10,29,15,35,24,45,43,48,43,19,11,62,28,17
ENSG00000128891,1154,908,1244,998,929,562,364,258,328,607,317,548,501,1128,1276,696,577,606,489,809,508,527
ENSG00000128908,3860,2050,3175,3132,2676,1650,938,840,735,1549,768,1454,1752,3439,2488,1492,1801,1963,1062,2653,1585,1581
ENSG00000128915,6569,4418,6590,5370,5894,2986,1368,1517,1659,3089,1304,2543,3261,5387,5925,2756,3624,2879,1948,3114,2600,2526
ENSG00000128917,170,72,75,73,11,55,4,101,13,22,39,22,77,118,157,17,97,23,30,38,23,16
ENSG00000128918,163,105,67,174,50,45,20,58,21,7,115,30,21,12,68,56,19,46,16,40,18,26
ENSG00000128923,8332,6575,7474,6510,4380,3595,3120,1734,2159,3730,2006,2134,2797,6058,7863,4275,2206,5418,2682,3432,3586,3895
ENSG00000128928,1569,784,1198,1152,1041,383,294,280,308,586,224,969,750,2858,1165,663,1403,1457,1166,1092,899,1416
ENSG00000128944,4731,2308,4822,4230,4277,2297,1092,876,684,3494,1750,1250,1865,2560,2432,1023,1033,1254,679,1641,696,842
ENSG00000128951,6331,2171,4175,4173,1842,2241,1116,1077,761,4035,1286,1696,2508,3143,4322,2649,2317,2448,1189,1985,1599,1686
ENSG00000128965,339,112,121,115,168,39,19,15,41,32,16,41,152,67,135,124,70,78,58,158,25,40
ENSG00000128973,683,223,632,567,458,423,173,189,160,478,158,339,521,726,740,291,403,304,192,326,204,305
ENSG00000128989,28391,19481,25714,23243,17264,15455,8029,6688,7371,16190,7009,13471,14155,39943,29911,15813,16854,26430,15774,19372,13489,14544
ENSG00000129003,21851,20417,19303,18462,16973,10839,4638,5935,6618,6063,3211,6230,9668,29076,19995,11469,12093,21514,13395,11189,12431,11481
ENSG00000129007,162,47,145,119,101,110,41,65,27,117,76,101,102,100,140,123,99,68,26,256,33,74
